id_paper;MDS1;MDS2;year_publication;country;country_cor;area;wallace_bioregion;number_sp;energy;how;where;when;why;geographical_scale;organizational_lvl;tracking_method;ecosystem;spatial_scale;spatial_ext;organizational_lvl_fact;Ecosystem;ecological_scale
90;0,0772163282093905;-0,07117321854828650;2018;Finland;Finland;Europe;Paleartic;1;Eolic terrestrial;No;No;No;No;regional;1;Biologgers;oceans/coasts;Medium_scale;2;individuals;oceans/coasts;individuals
93;0,0752405469820256;0,00222435592522015;2022;Wyoming;United States of America;North America;Neartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;other;Large_scale;1;individuals;other;individuals
100;0,0554574187314697;0,03265656861833726;2015;New Jersey y Massachusetts;United States of America;North America;Neartic;1;Offshore eolic;Yes;Yes;No;No;local;1;No tracking;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
101;0,0725980342916548;0,00044029421958039;2022;Spain;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;1;Biologgers;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
102;0,0659611018957778;0,00283040437909619;2021;Sweeden;Sweden;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;1;Biologgers;forests;Short_scale;1;individuals;forests;individuals
106;0,0997415871279475;0,07794976199677121;2008;Denmark;Denmark;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;Yes;local;1;No tracking;grasslands/shrublands/Savannahs;Short_scale;1;individuals;grasslands/shrublands/Savannahs;individuals
107;0,0645169174706162;0,00222613813321930;2021;Scotland;United Kingdom;Europe;Paleartic;1;Tidal power;No;Yes;Yes;Yes;local;1;Bioacustic;oceans/coasts;Short_scale;1;individuals;oceans/coasts;individuals
108;0,0329534028746096;0,07650915686209112;2016;Denmark;Denmark;Europe;Paleartic;4;Offshore eolic;Yes;Yes;No;No;local;1;radar;oceans/coasts;Large_scale;1;individuals;oceans/coasts;individuals
109;-0,1181265727896023;-0,07345990548810395;2021;Belgium;Belgium;Europe;Paleartic;3;Offshore eolic;No;No;No;No;regional;2;Bioacustic;oceans/coasts;Large_scale;2;populations;oceans/coasts;populations
113;-0,2055487817250295;-0,03679990242974294;2014;Mexico;Mexico;North America;Neartic;2;Eolic terrestrial;Yes;No;Yes;Yes;regional;3;radar;mountains;Large_scale;2;species;mountains;species
114;0,0319622890317234;0,05103850948550157;2018;United States;United States of America;North America;Neartic;3;Eolic terrestrial;Yes;Yes;Yes;Yes;local;1;Biologgers;farmlands;Short_scale;1;individuals;farmlands;individuals
115;-0,0390621825535003;0,01082646899562528;2020;Spain;Spain;Europe;Paleartic;1;Eolic terrestrial;No;Yes;No;No;local;2;Biologgers;other;Large_scale;1;populations;other;populations
118;0,0414081233054072;0,05869982883558836;2014;Lesotho;South Africa;South Africa;Afrotropical;2;Eolic terrestrial;No;No;No;No;local;1;Biologgers;mountains;Short_scale;1;individuals;mountains;individuals
121;0,0520114467208684;0,04116549306233687;2013;Norway;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;1;Biologgers;oceans/coasts;Multi_scale;1;individuals;oceans/coasts;individuals
122;0,0601509569238573;-0,07984663195957185;2020;Norway;Norway;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;regional;1;Biologgers;other;Short_scale;2;individuals;other;individuals
123;-0,0422274781818431;0,05074445331921370;2013;Great Britain;United Kingdom;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;Yes;local;2;Biologgers;freshwaters;Multi_scale;1;populations;freshwaters;populations
