ID paper;Year of publication;Country;Area;Wallace bioregion;Number of species;Energy;How;Where;When;Why;Geographical scale;Ecological scale;Tracking method;Ecosystem;Spatial_scale
138;2021;Spain;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;Yes;local;individuals;Biologgers;grasslands/shrublands/Savannahs;Short_scale
141;2020;UK;Europe;Paleartic;1;Offshore eolic;Yes;No;No;No;local;individuals;Bioacustic;oceans/coasts;Short_scale
142;2017;France;Europe;Paleartic;8;Hydroelectric;No;Yes;No;No;local;individuals;Bioacustic;freshwaters;Short_scale
145;2017;Canada;North America;Neartic;NA;Eolic terrestrial;Yes;No;No;No;local;individuals;radar;forests;Large_scale
147;2021;Germany;Europe;Paleartic;9;Eolic terrestrial;Yes;No;No;Yes;local;communities;Other;farmlands;Short_scale
148;2018;Sweden;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;Doubt;No;local;individuals;Biologgers;forests;Short_scale
149;2018;UK;Europe;Paleartic;5;Tidal power;Yes;Yes;No;Yes;local;individuals;Bioacustic;oceans/coasts;Short_scale
150;2021;USA;North America;Neartic;NA;Eolic terrestrial;No;No;No;No;regional;species;Other;mountains;Large_scale
151;2009;USA;North America;Neartic;36;Eolic terrestrial;Doubt;Yes;Doubt;No;local;communities;Other;mountains;Short_scale
152;2005;France;Europe;Paleartic;1;Hydroelectric;Yes;Yes;No;No;local;individuals;Biologgers;freshwaters;Large_scale
157;2021;USA;North America;Neartic;3;Eolic terrestrial;Yes;Yes;No;No;local;individuals;Other;grasslands/shrublands/Savannahs;Multi_scale
160;2017;North Sea;Europe;Paleartic;1;Offshore eolic;Yes;Yes;No;Yes;regional;populations;Other;oceans/coasts;Multi_scale
162;2013;Canada;North America;Neartic;1;Hydroelectric;Yes;Yes;Yes;Yes;regional;individuals;Biologgers;freshwaters;Multi_scale
163;2014;UK;Europe;Paleartic;2;Hydroelectric;No;No;No;No;global;individuals;Other;freshwaters;Multi_scale
169;2005;USA;North America;Neartic;1;Eolic terrestrial;Yes;Yes;Yes;Doubt;local;individuals;Other;farmlands;Short_scale
173;2014;Canada;North America;Neartic;1;Eolic terrestrial;Yes;Yes;Yes;Yes;local;individuals;Other;mountains;Large_scale
179;2017;USA;North America;Neartic;6;Eolic terrestrial;No;No;No;Doubt;local;communities;Bioacustic;farmlands;Short_scale
181;2022;Germany;Europe;Paleartic;1;Eolic terrestrial;Yes;Yes;No;No;local;individuals;Biologgers;farmlands;Short_scale
182;2007;Netherlands;Europe;Paleartic;1;Hydroelectric;Yes;No;No;No;local;populations;Other;freshwaters;Large_scale
185;2022;France;Europe;Paleartic;1;Tidal power;No;Yes;Yes;No;local;individuals;Bioacustic;freshwaters;Multi_scale
186;2020;some;Europe;Paleartic;1;Hydroelectric;Yes;Yes;Yes;No;continental;species;Biologgers;freshwaters;Large_scale
187;2021;Switzerland;Europe;Paleartic;92;Eolic terrestrial;No;Yes;No;Yes;regional;populations;Biologgers;mountains;Short_scale
188;2017;Brazil;South America;Neotropical;2;Hydroelectric;No;Yes;No;No;local;species;Bioacustic;freshwaters;Short_scale
189;1998;USA;North America;Neartic;NA;Eolic terrestrial;No;Yes;No;No;local;communities;No tracking;farmlands;Short_scale
192;2014;USA;North America;Neartic;NA;Eolic terrestrial;Yes;Yes;No;No;local;individuals;No tracking;farmlands;Short_scale
193;2008;United States;North America;Neartic;NA;Eolic terrestrial;No;Yes;Yes;Yes;local;individuals;Other;grasslands/shrublands/Savannahs;Short_scale
