reviewer,ID paper,Paper title,Year of publication,Suitability,Country,Area,Wallace bioregion,Taxon,Specie/s name/s,Number of species,Energy,How,Where,Why,When,Geographical scale,Ecological scale,Tracking method,Ecosystem,time period data,Short,Medium,Large,Comments
app,71,Collision risk of White-fronted Geese with wind turbines,2011,Yes,Japan,East Asia,Sino-Japanese,Birds,Anser albifrons frontalis,1,Eolic terrestrial,Yes,Yes,Yes,Yes,local,individuals,No tracking,freshwaters,2006 & 2007,Yes,No,No,"THey look at individuals as they pass through the windfarm and wherther they colide or not with the blades. Within the methods they refer to the following ""Desholm and Kahlert (2005) analyzed the flight
trajectories of water birds (mainly Common Eider
Somateria	mollissima and geese) using a radar system
on a wind farm and investigated the effect of avoidance behavior on collision risk by comparing the frequencies of passage through the wind farm before and
after the farm was constructed. "" which might be useful to include in the pool of papers to review if it isn´t already"
JMR-G,73,Harbour seals avoid tidal turbine noise: Implications for collision risk,2018,Yes,Scotland,Europe,Paleartic,Marine mammal,Phoca vitulina,1,Tidal power,Yes,Yes,Yes,Yes,local,individuals,Biologgers,oceans/coasts,2013,Yes,No,No,Tracking method: GPS telemetry with remote downloading
et2,74,"Radio telemetry as a tool for impact assessment of wind farms: the case of Little Terns Sterna albifrons at Scroby Sands, Norfolk, UK",2006,Yes,United Kingdom,Europe,Paleartic,Birds,Sterna albifrons,1,Offshore eolic,Yes,Yes,Yes,Yes,local,individuals,Biologgers,oceans/coasts,2003-2004,Yes,Yes,No,NA
vGBC,76,Northern gannets (Morus bassanus) are strongly affected by operating offshore wind farms during the breeding season,2021,Yes,"Germany, Denmark",Europe,Paleartic,Birds,Morus bassanus,1,Offshore eolic,Yes,Yes,No,No,local,individuals,Biologgers,oceans/coasts,2015-2016,Yes,No,No,NA
JOR_Luca,77,Tidal stream use by black guillemots Cepphus grylle in relation to a marine renewable energy development,2021,Yes,United Kingdom,Europe,Paleartic,Birds,Cepphus grylle,1,Tidal power,Yes,Yes,Doubt,No,local,individuals,Biologgers,oceans/coasts,2016-2017,Yes,No,No,The velocities and depths which black guillemots selected while foraging within a 1 km boundary of the lease area significantly differed from those concurrently occurring within the MTLA. This disparity between the used habitat and the conditions within the MTLA may indicate a reduced potential for interactions with turbines.
JOR,78,Possible impacts of offshore wind farms on seabirds: a pilot study in Northern Gannets in the southern North Sea,2017,Yes,Germany,Europe,Paleartic,Birds,Morus bassanus,1,Offshore eolic,No,Yes,No,No,local,individuals,Biologgers,oceans/coasts,2014,Yes,No,No,The three tagged individuals showed clear avoidance of areas where wind turbines were installed
Zaida,79,Flight response to spatial and temporal correlates informs risk from wind turbines to the California Condor,2018,Yes,United States,North America,Neartic,Birds,Gymnogyps californianus,1,Eolic terrestrial,No,Yes,No,Yes,local,individuals,Biologgers,other,2013-2015,Yes,No,No,"Various ecosystems: coast, desert, mountains, forests…"
Jon,80,Response of waterbird abundance and flight behavior to a coastal wind farm on the East Asian-Australasian Flyway,2021,Yes,China,East Asia,Oriental,Birds,Shorebirds,NA,Eolic terrestrial,Yes,Yes,No,Yes,regional,communities,No tracking,oceans/coasts,2009-2015,No,No,No,Authors use direct observations to estimate chnages in abundance of diffeent bird species
jmpg,82,Harbour seals (Phoca vitulina) around an operational tidal turbine in Strangford Narrows: No barrier effect but small changes in transit behaviour,2018,Yes,Ireland,Europe,Paleartic,Marine mammal,Phoca vitulina,1,Tidal power,Yes,Yes,Yes,Yes,local,individuals,Biologgers,oceans/coasts,3 periods of 4 months,Yes,No,No,NA
MMD,85,"The influence of habitat, tidal stage, temperature, and breeding status on the flight behavior of piping plovers (Charadrius melodus)",2018,Yes,New Jersey y Massachusetts,North America,NA,Birds,Charadrius melodus,1,Offshore eolic,Yes,Yes,No,Yes,local,individuals,No tracking,oceans/coasts,2012-2013,Yes,No,No,NA
